Ref;Usuario;EdicionEvento;TipoRegistro;FechaRegistro;Costo;Patrocinio
RE01;US03;EDEV01;TR02;14/05/2025;4000;
RE02;US03;EDEV03;TR07;30/07/2024;500;
RE03;US09;EDEV10;TR25;21/08/2025;300;
RE04;US03;EDEV02;TR03;03/03/2025;1200;
RE05;US07;EDEV09;TR20;22/08/2025;750;
RE06;US12;EDEV02;TR05;09/04/2025;500;
RE07;US13;EDEV02;TR04;10/04/2025;800;
RE08;US14;EDEV06;TR14;03/08/2025;500;
RE09;US15;EDEV05;TR11;16/07/2024;600;
RE10;US02;EDEV08;TR17;01/10/2025;0;PAT1
RE11;US09;EDEV08;TR19;06/10/2025;0;PAT2
RE12;US14;EDEV08;TR18;10/10/2025;1500;
